12926	76.4466	96.6519	1.1277
15070	77.3803	96.2853	1.13585
13025	78.3147	95.9218	1.12179
13884	79.2497	95.5611	1.12243
15646	80.1852	95.2031	1.13128
14825	81.1213	94.8475	1.13824
13034	82.0579	94.4941	1.14857
12428	82.9949	94.1428	1.20369
11321	83.9323	93.7934	1.23794
10908	84.8701	93.4455	1.2684
12306	85.8083	93.0991	1.30661
10508	86.7468	92.754	1.29225
11273	87.6855	92.4099	1.32497
11310	88.6245	92.0667	1.33595
10688	89.5637	91.7241	1.44831
12854	89.4491	268.636	1.09865
13523	89.6241	268.262	1.0982
14130	88.6974	267.887	1.10654
12742	87.771	267.511	1.08984
14723	86.8448	267.134	1.1146
13439	85.9189	266.756	1.10175
12634	84.9934	266.377	1.09813
13963	84.0683	265.997	1.11228
13444	83.1436	265.615	1.10397
14798	82.2194	265.231	1.11702
13487	81.2957	264.844	1.10722
15721	80.3725	264.456	1.10966
12298	79.45	264.065	1.10681
13984	78.5281	263.671	1.12316
15087	77.6069	263.274	1.11903
13547	76.6865	262.874	1.1236
14282	75.7669	262.47	1.1191
14987	74.8482	262.063	1.11329
13493	73.9303	261.652	1.13009
14355	73.0135	261.236	1.13368
13524	72.0976	260.816	1.11368
14745	71.1829	260.391	1.1202
13502	70.2693	259.961	1.12662
12970	69.3569	259.526	1.13651
14493	68.4459	259.085	1.13593
15212	67.5361	258.638	1.14193
15726	66.6279	258.184	1.14311
13583	65.7211	257.724	1.14739
15137	64.8159	257.257	1.14943
14099	63.9124	256.783	1.15008
12659	63.0107	256.3	1.14328
15039	62.1109	255.81	1.14556
14208	61.213	255.31	1.15081
13717	60.3171	254.802	1.14822
14763	59.4235	254.284	1.14729
14416	58.5321	253.756	1.15182
14035	57.6432	253.217	1.14735
14072	56.7568	252.667	1.14999
12746	55.8731	252.105	1.14315
12341	54.9922	251.532	1.14501
12179	54.1143	250.945	1.1472
14904	53.2395	250.344	1.15842
12903	52.368	249.729	1.1466
12876	51.5	249.099	1.15162
12639	50.6357	248.454	1.15047
11907	49.7753	247.791	1.15124
14393	48.919	247.111	1.16886
11693	48.067	246.413	1.14379
12900	47.2196	245.695	1.16281
