Phase	         x	         y	    Euler1	  Euler2	  Euler3
   4	  15060.00	   1350.00	   136.760    56.520   344.420
   4	  15060.00	   1380.00	   136.870    56.997   343.560
   4	  15060.00	   1410.00	   137.560    56.980   344.200
   4	  15060.00	   1470.00	    29.988   127.150   342.800
   2	  15060.00	   1650.00	     6.930    54.080    96.333
   4	  15060.00	   1710.00	     6.946    55.053   189.140
   1	  15060.00	   1770.00	     5.739    54.891    69.477
   4	  15060.00	   1830.00	     6.490    55.506   188.360
   4	  15060.00	   1860.00	     6.286    54.877   188.150
   1	  15060.00	   1890.00	     5.921    55.758    68.732
   1	  15060.00	   1920.00	     5.735    55.996    68.836
   4	  15060.00	   1950.00	     5.573    55.624   188.050
   1	  15060.00	   1980.00	     5.181    55.547    68.703
   1	  15060.00	   2010.00	     4.996    55.856    67.659
   2	  15060.00	   2040.00	     5.664    55.822    36.833
   3	  15060.00	   2280.00	    22.076    36.689   264.610
   4	  15060.00	   2310.00	    54.948    99.236   134.440
   4	  15060.00	   2340.00	     5.822   172.240     7.303
   2	  15060.00	   2400.00	    64.446    47.752    60.650
   4	  15060.00	   2430.00	    51.270   160.720    51.448
   2	  15060.00	   2460.00	    34.939    74.354    31.918
   2	  15060.00	   2490.00	     5.497    68.910    83.200
   1	  15060.00	   2580.00	   144.070   121.160   180.380
   2	  15060.00	   2910.00	   177.980    17.157    18.666
   2	  15060.00	   2970.00	     3.076   160.230   104.960
   2	  15060.00	   3000.00	     2.824   160.780   104.840
   2	  15060.00	   3240.00	   145.440    75.550    92.530
   2	  15060.00	   3270.00	   146.190    75.144    92.114
   2	  15060.00	   3390.00	    52.382    39.534    72.164
   2	  15060.00	   3420.00	    50.531    40.455    74.774
   2	  15060.00	   3450.00	    49.757    40.126    15.215
   4	  15060.00	   3480.00	    16.116    86.585    95.688
   1	  15060.00	   3540.00	   139.580   102.000   251.110
   2	  15060.00	   3930.00	     1.481   132.870    51.842
   4	  15090.00	   1050.00	   116.980   136.670    94.670
   4	  15090.00	   1170.00	   110.110   157.990    64.988
   4	  15090.00	   1320.00	    81.949    86.410   214.100
   4	  15090.00	   1380.00	   137.340    57.152   343.480
   4	  15090.00	   1410.00	   137.200    56.925   343.970
   1	  15090.00	   1440.00	    97.492    83.037   196.000
   1	  15090.00	   1500.00	    67.483   162.100   264.490
   1	  15090.00	   1620.00	   141.290    84.181   294.450
   3	  15090.00	   1680.00	   166.810   125.030   356.450
   1	  15090.00	   1710.00	   173.970   126.110   240.790
   3	  15090.00	   1740.00	   166.260   124.420   356.830
   2	  15090.00	   1770.00	     5.770    56.047    98.971
   3	  15090.00	   1800.00	   172.350   114.750   314.860
   3	  15090.00	   1830.00	     4.961    70.963   129.120
   4	  15090.00	   1860.00	     6.268    55.826   187.490
   2	  15090.00	   1920.00	     5.734    55.727    38.553
   3	  15090.00	   1950.00	    14.321    54.101   153.550
   3	  15090.00	   1980.00	    20.733    62.101   148.990
   1	  15090.00	   2010.00	     5.560    56.362    67.386
   4	  15090.00	   2040.00	     5.394    56.436   215.970
   4	  15090.00	   2070.00	     8.002    56.504     4.783
   2	  15090.00	   2100.00	     9.236    56.410    34.158
   3	  15090.00	   2250.00	    46.254    34.524   184.800
   2	  15090.00	   2280.00	    23.149    37.305    23.111
   1	  15090.00	   2310.00	    54.068    97.676   135.650
   2	  15090.00	   2430.00	    64.479    47.741    59.878
   1	  15090.00	   2550.00	   124.990    52.816   263.130
   1	  15090.00	   2580.00	   144.190   121.350   180.310
   1	  15090.00	   2730.00	   145.110   120.800   178.780
   4	  15090.00	   2820.00	    93.178    53.323   137.230
   4	  15090.00	   2880.00	    94.925    53.510   136.540
   2	  15090.00	   2910.00	     4.166   161.390   105.650
   2	  15090.00	   2970.00	     1.096   160.210    42.948
   1	  15090.00	   3060.00	   190.710    69.749   351.440
   2	  15090.00	   3120.00	     1.013    61.541    91.754
   2	  15090.00	   3180.00	   146.280    78.086    32.251
   2	  15090.00	   3210.00	   146.270    77.602    93.120
   2	  15090.00	   3300.00	   147.180    75.804    32.843
   2	  15090.00	   3330.00	    75.839    89.759    84.298
   2	  15090.00	   3450.00	    49.419    40.364    15.547
   2	  15090.00	   3540.00	   141.810   118.070    11.671
   2	  15090.00	   3960.00	     0.016   133.160    51.617
   1	  15120.00	   1260.00	    95.240    92.263   231.960
   4	  15120.00	   1290.00	    96.780    94.682    51.498
   4	  15120.00	   1380.00	   136.420    57.448   344.230
   4	  15120.00	   1410.00	   137.280    56.654   343.730
   4	  15120.00	   1560.00	   151.730    90.265   344.040
   4	  15120.00	   1590.00	   142.160   115.450   310.950
   4	  15120.00	   1620.00	   142.960   115.380   309.890
   3	  15120.00	   1680.00	     7.048    62.242   141.950
   2	  15120.00	   1710.00	   173.800   125.690    30.110
   2	  15120.00	   1740.00	   173.500   125.140    30.175
   2	  15120.00	   1770.00	     5.526    55.271    99.656
   2	  15120.00	   1800.00	     6.167    55.634    99.022
   4	  15120.00	   1830.00	     5.124    55.639    68.825
   2	  15120.00	   1860.00	     5.694    55.925    98.685
   3	  15120.00	   1890.00	     4.794    57.873    39.008
   4	  15120.00	   1920.00	     5.559    55.420   188.260
   4	  15120.00	   2010.00	     6.948    56.004    35.299
   2	  15120.00	   2040.00	     6.920    56.816    96.445
   2	  15120.00	   2100.00	    10.516    56.066    33.208
   2	  15120.00	   2250.00	    22.615    38.726    23.172
   3	  15120.00	   2280.00	    49.692    33.993   181.860
   2	  15120.00	   2400.00	    64.618    48.608    59.809
   2	  15120.00	   2430.00	    64.487    47.978    59.667
   2	  15120.00	   2520.00	    24.877    67.986    69.597
   1	  15120.00	   2610.00	   143.830   120.970   179.910
