    phi1        Phi       phi2      phase         ci         iq sem_signal          x          y    grainId
 281.182    147.719    306.344          0      0.568     3069.8      18655        114    10.3923         12
 281.546     148.28    186.721          0      0.809     2992.2      17448        126    10.3923         12
 281.372    147.901    306.269          0      0.591     3060.1      18123        138    10.3923         12
 109.477    36.8137    304.185          0      0.527     3193.8      19533        150    10.3923          8
 289.634    143.448    295.795          0      0.814     2947.6      17437        162    10.3923          8
 289.608     143.19    296.024          0      0.755     3144.2      17980        174    10.3923          8
 289.661    143.186    295.911          0      0.655     3496.5      17060        186    10.3923          8
 109.841    36.7157    303.661          0      0.827     3003.9      17939        198    10.3923          8
 289.469    143.465    115.673          0      0.718     3286.4      17394        210    10.3923          8
 289.355    143.456    295.845          0      0.427     3327.7      16841        222    10.3923          8
 289.714    143.597    236.056          0      0.786     3119.4      17708        234    10.3923          8
 109.781    36.4745    64.2784          0      0.859     2859.5      17944        246    10.3923          8
 109.532    36.5461    64.4285          0      0.582     3323.6      17923        258    10.3923          8
 288.623    143.385    294.957          0      0.373     3547.2      18498        270    10.3923          8
 109.694    36.6395     64.063          0      0.736     3118.6      18031        282    10.3923          8
 110.183    36.8435     63.376          0      0.755     3417.1      17454        294    10.3923          8
 109.729    36.7764    124.281          0      0.905     3282.3      18056        306    10.3923          8
 109.738    36.8653    64.0693          0      0.532     3181.7      18056        318    10.3923          8
 132.744    65.6088     64.809          0      0.618     2600.2      18239        330    10.3923          4
 312.694    114.299    115.543          0      0.523     2897.9      17788        342    10.3923          4
 312.573    114.247    115.625          0      0.336     3013.4      17572        354    10.3923          4
 132.684    65.6243    64.3506          0        0.7     2952.2      18424        366    10.3923          4
 132.841    66.0466    64.5128          0      0.668     2798.7      18285        378    10.3923          4
 321.456    60.0425    181.376          0      0.395     1964.7      18109        390    10.3923         17
 141.769    119.783    238.957          0      0.318     2048.1      17538        402    10.3923         17
 321.359    60.0832    121.387          0      0.395       2074      17910        414    10.3923         17
 141.027    120.252    238.451          0      0.277     1968.7      19636        426    10.3923         17
 141.304    120.486    239.259          0      0.259     1961.3      18662        438    10.3923         17
 321.352    60.3296    181.406          0      0.618     2219.3      18789        450    10.3923         17
 141.238    119.815     58.868          0      0.523     1945.5      18118        462    10.3923         17
  321.24     60.211    1.27139          0      0.336     2218.5      18226        474    10.3923         17
 141.599    119.307     238.73          0      0.345     1807.8      18122        486    10.3923         17
 321.604    60.1749    301.211          0      0.623     1648.9      18344        498    10.3923         17
  285.96    114.563    103.044          0      0.145     2738.9      17693        510    10.3923          5
 306.683    26.1183    151.264          0      0.405     2249.4      17634        522    10.3923         19
 307.648    26.1601    330.968          0      0.368       2952      18255        534    10.3923         19
 307.529     26.218    151.088          0      0.727     3188.2      17128        546    10.3923         19
     307    26.0621    151.629          0      0.559     3301.4      18194        558    10.3923         19
 308.226    26.2701    150.521          0      0.527       3184      16529        570    10.3923         19
 127.972    153.692    209.108          0      0.286     3167.6      18230        582    10.3923         19
 308.074    26.4827    150.545          0      0.909     3245.7      17852        594    10.3923         19
 127.681    153.972    29.2025          0      0.459     3180.2      17520        606    10.3923         19
 127.372    153.682    208.892          0      0.282     3163.8      18384        618    10.3923         19
 307.458    26.1349    151.031          0      0.764     3060.4      17910        630    10.3923         19
 308.132    26.2673    150.777          0      0.364     3157.3      18119        642    10.3923         19
 307.118    26.1183    151.464          0      0.632     2905.4      17474        654    10.3923         19
 307.709    26.1893    150.904          0      0.441     3308.1      17302        666    10.3923         19
 307.454    26.0673    151.225          0      0.218     2973.6      18420        678    10.3923         19
 307.258    26.0323    211.195          0      0.136     3111.7      17739        690    10.3923         19
 126.965    153.931    208.416          0      0.218     3161.4      17901        702    10.3923         19
 128.022    153.758    208.887          0      0.595       3252      18124        714    10.3923         19
 307.496    25.9475     331.15          0      0.459     2976.5      17262        726    10.3923         19
  296.71    112.129    98.4777          0      0.582     2355.8      17052        738    10.3923          6
 296.527     112.03    98.6158          0      0.577     2599.4      15546        750    10.3923          6
 296.506    112.045    98.7596          0      0.486       2452      18053        762    10.3923          6
 296.528    111.947     98.959          0      0.895     2742.6      16725        774    10.3923          6
 296.566    111.975     158.56          0      0.823     2619.4      18158        786    10.3923          6
 296.514    112.106    98.6989          0      0.627     2607.9      18440        798    10.3923          6
 296.455    112.065    99.0266          0      0.505     2488.3      16555        810    10.3923          6
 296.468    111.936    98.8513          0      0.605       2530      17784        822    10.3923          6
 296.675    111.913    98.7716          0      0.564     2435.6      17434        834    10.3923          6
