X         Y         Z         data
-23.2937  -86.9333  0         30.8
-24.8074  -86.5135  0         27.5
-26.3134  -86.0674  0         24.2
-27.8115  -85.5951  0         18.3
-29.3011  -85.0967  0         33.3
-30.7818  -84.5723  0         30.0
-32.2531  -84.0222  0         25.0
-33.7146  -83.4466  0         36.7
-35.1658  -82.8454  0         25.8
-36.6063  -82.2191  0         33.3
-38.0356  -81.5677  0         29.2
-39.4534  -80.8915  0         30.8
-40.8591  -80.1906  0         44.2
-42.2524  -79.4653  0         40.0
-43.6329  -78.7158  0         53.3
-45       -77.9423  0         50.0
-46.3534  -77.1451  0         36.7
-47.6927  -76.3243  0         50.8
-49.0175  -75.4804  0         59.2
-50.3274  -74.6134  0         46.7
-51.6219  -73.7237  0         53.3
-52.9007  -72.8115  0         57.5
-54.1634  -71.8772  0         55.0
-55.4095  -70.921   0         60.0
-56.6388  -69.9431  0         54.2
-57.8509  -68.944   0         54.2
-59.0453  -67.9239  0         59.2
-60.2218  -66.883   0         55.8
-61.3798  -65.8218  0         60.0
-62.5192  -64.7406  0         62.5
-63.6396  -63.6396  0         42.5
-64.7406  -62.5192  0         46.7
-65.8218  -61.3798  0         46.7
-66.883   -60.2218  0         43.3
-67.9239  -59.0453  0         41.7
-68.944   -57.8509  0         52.5
-69.9431  -56.6388  0         36.7
-70.921   -55.4095  0         49.2
-71.8772  -54.1634  0         38.3
-72.8115  -52.9007  0         37.5
-73.7237  -51.6219  0         37.5
-74.6134  -50.3274  0         30.0
-75.4804  -49.0175  0         28.3
-76.3243  -47.6927  0         27.5
-77.1451  -46.3534  0         34.2
-77.9423  -45       0         35.0
-78.7158  -43.6329  0         40.8
-79.4653  -42.2524  0         31.7
-80.1906  -40.8591  0         20.8
-80.8915  -39.4534  0         33.3
-81.5677  -38.0356  0         36.7
-82.2191  -36.6063  0         31.7
-82.8454  -35.1658  0         27.5
-83.4466  -33.7146  0         31.7
-84.0222  -32.2531  0         30.8
-84.5723  -30.7818  0         35.8
-85.0967  -29.3011  0         31.7
-85.5951  -27.8115  0         39.2
-86.0674  -26.3134  0         28.3
-86.5135  -24.8074  0         36.7
-86.9333  -23.2937  0         25.8
-87.3266  -21.773   0         34.2
-87.6933  -20.2456  0         36.7
-88.0333  -18.7121  0         28.3
-88.3465  -17.1728  0         33.3
-88.6327  -15.6283  0         30.0
-88.8919  -14.0791  0         31.7
-89.1241  -12.5256  0         33.3
-89.3291  -10.9682  0         30.0
-89.507   -9.40756  0         26.7
-89.6575  -7.84402  0         36.7
-89.7808  -6.27808  0         35.0
-89.8767  -4.71024  0         35.8
-89.9452  -3.14095  0         44.2
-89.9863  -1.57072  0         21.7
-90       0         0         34.2
-89.9863  1.57072   0         35.0
-89.9452  3.14095   0         43.3
-89.8767  4.71024   0         38.3
-89.7808  6.27808   0         29.2
-89.6575  7.84402   0         32.5
-89.507   9.40756   0         39.2
-89.3291  10.9682   0         30.8
-89.1241  12.5256   0         35.8
-88.8919  14.0791   0         35.8
-88.6327  15.6283   0         36.7
-88.3465  17.1728   0         32.5
-88.0333  18.7121   0         25.8
-87.6933  20.2456   0         20.0
-87.3266  21.773    0         40.0
-86.9333  23.2937   0         27.5
-86.5135  24.8074   0         26.7
